timestamp,elapsed_seconds,operations,operations_per_second
1765722705.434796,0.262116,9,34.34
1765722705.503971,0.331276,10,30.19
1765722705.578210,0.405528,11,27.13
1765722705.654217,0.481539,12,24.92
1765722705.740867,0.568170,13,22.88
1765722705.828374,0.655691,14,21.35
1765722705.922753,0.750051,15,20.00
1765722706.059234,0.886558,16,18.05
1765722706.228234,1.055551,17,16.11
1765722706.405023,1.232347,18,14.61
1765722706.591118,1.418440,19,13.39
1765722706.780315,1.607651,20,12.44
1765722706.983302,1.810615,21,11.60
1765722707.193001,2.020334,22,10.89
1765722707.413298,2.240637,23,10.26
1765722707.616150,2.443482,24,9.82
1765722707.836784,2.664119,25,9.38
1765722708.062686,2.890025,26,9.00
1765722708.306846,3.134175,27,8.61
1765722708.545445,3.372786,28,8.30
1765722708.795295,3.622638,29,8.01
1765722709.046129,3.873470,30,7.74
